Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Dependency),Outward issue link (Duplicate),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Resolved Bugs/Defect),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (% Closed),Custom field (AE Name),Custom field (Acceptance Criteria),Custom field (Actions),Custom field (Actual Delivery Date),Custom field (Actual Start Date),Custom field (Agile Product Owner),Custom field (Agile QA Owner),Custom field (Aha! Reference),Custom field (Assigned Date),Custom field (Bug Triaged),Custom field (Campaign Overview),Custom field (Capitalizable),Custom field (Cart Click Thru URL),Custom field (Cart number),Custom field (Client Name),Custom field (Code Review Time),Custom field (CodeReview Owner),Custom field (Commercial Required?),Custom field (Conclusion),Custom field (Conclusion),Custom field (Content Schedule),Custom field (Copy),Custom field (Core message and specific copy:),Custom field (Country),Custom field (Country),Custom field (Country),Custom field (Country),Custom field (Country),Custom field (Creative Deliverables),Custom field (Deal Team),Custom field (Defect Found),Custom field (Design Due Date:),Custom field (Desktop CPM),Custom field (Desktop Click Thru URL),Custom field (Desktop impression goal),Custom field (Dev Hrs. Actual),Custom field (Dev Hrs. Estimate),Custom field (Dev Owner),Custom field (Device),Custom field (Display Description),Custom field (Display Name),Custom field (Due Date w/time),Custom field (End Date),Custom field (End Date w/time),Custom field (Environment Tested),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Revenue),Custom field (Flagged),Custom field (Flight End Date),Custom field (Flight Start Date),Custom field (Go Live),Custom field (Homepage takeover date),Custom field (If Commercial Required),"Custom field (If For Print, Color or Black/White?)",Custom field (If Logo Requested),Custom field (If Sponsored),Custom field (If sweepers/liners required),Custom field (Impact Statement),Custom field (Impacted Items),Custom field (Is this for Print or Web?),Custom field (Live Date),Custom field (Local or National),Custom field (Logo Requested),Custom field (Market),Custom field (Mobile CPM),Custom field (Mobile Click Thru URL),Custom field (Mobile impression goal),Custom field (Notes),Custom field (OS),Custom field (Official Contest Rules),Custom field (Owner),Custom field (PA#),Custom field (Page created?),Custom field (Preroll CPM),Custom field (Preroll Click Thru URL),Custom field (Preroll impression goal),Custom field (Primary Genre),Custom field (Primary Keyword),Custom field (Project Notes),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Date),Custom field (Requested Delivery Date),Custom field (Requested Placement - Specify),Custom field (Review Notes),Custom field (Risk Level),Custom field (Secondary Genre),Custom field (Send to Print Date:),Custom field (Severity Level),Custom field (Specific PMS colors to use?),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Start Date w/time),Custom field (Station Sponsored?),Custom field (Station Type),Custom field (Station(s) - Specify),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Sweepers/Liners Required?),Custom field (Temporary or Permanent),Custom field (TestEng Hrs. Actual),Custom field (TestEng Hrs. Estimate),Custom field (TestEng Owner),Custom field (TestEng Required),Custom field (Testing Notes),Custom field (Testing Points),Custom field (Timeframe),Custom field (URL),Custom field (UXD Sizing),Custom field (Web Bug Prevention strategy),Custom field (What are the dimensions?),Custom field (What is the goal of this piece?),Custom field (What is the tone?),Custom field (What was changed?),Custom field (Who is the audience?),Custom field (git pull request url),Custom field (git sha1),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Implement paging on list views,AR-4018,617352,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,aroberts,aroberts,19/Apr/18 10:02 AM,01/Feb/19 3:08 PM,03/May/19 9:49 AM,30/Apr/18 9:02 AM,,2019.1.29 - Content,,Content Tool,,,,0,,,,,,aroberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3686,,,,,,,,,,,,,,,,,29/Jan/19 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzy1if:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_9_IBIS,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectDB BUG - Sentry RE-OBJECTDB-D,AR-4017,617349,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,tterry,tterry,19/Apr/18 9:54 AM,19/Jun/18 7:50 AM,03/May/19 9:49 AM,30/May/18 8:53 AM,,2018.6.12,,ObjectDb,,,,0,,,,"nil pointer dereference in DeleteAll(). Need to check the err response from removeAll() before accessing the info object.

https://sentry.io/iheartmedia/re-objectdb/issues/532020252/",,ccrnyc2msw,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-4090,,,,,,,,,,,,,,,,,12/Jun/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hz7ien:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_11_KAOS,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,30/May/18 8:53 AM;ccrnyc2msw;Engineering ticket.  No product review required.  Moving to done and tagging with the next fix version.  ,,,,,,,,,,,,,,,,,,,,,
Spike - how to force new versions of app to users on update,AR-4016,617348,,Story,Completed,AR,Agile Radioedit,software,howella,,,P3 - Minor,Completed,tlong,ccrbdl1mje,ccrbdl1mje,19/Apr/18 9:49 AM,30/May/18 1:26 PM,03/May/19 9:49 AM,30/May/18 1:26 PM,,,,Content Tool,,,,0,,,,As a local content creator I don't want my browser to cache an old version of the Content app when a new version is released so I can make sure to take advantage of new functionality as it becomes available.,,1109751,1110204,ccrbdl1mje,ccrnyc2msw,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"# On update to Content app, local browser cache is invalidated so the user is presented with the latest version of the app when they log in",,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hz7ief:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_11_KAOS,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"19/Apr/18 9:50 AM;ccrbdl1mje;[~1110204] this was presented as an issue from [~ccrnyc2msw] reaching out with the following information:

Can we please reach out to Gina Ulmos and ask her to clear her browser cache?  She’s creating great content for our Spanish language sites – however, it looks like her browser has an old version of the content tool cached.  
 
We made an update about a month ago that resolves an issue with the content tool adding some inline style attributes that cause the AMP pages to fail.  Unfortunately it looks like her machine may have an old copy of the tool cached, so it’s still inserting the rogue style tags, causing none of her content to generate valid AMP pages.","19/Apr/18 11:53 AM;1110204;Ok, will discuss possibilities with the team",15/May/18 10:54 AM;ccrnyc2msw;Need to test on FF to see if others beyond me are getting the inline style applied.  ,"30/May/18 11:30 AM;tlong;Transition v-id to app-build numbering scheme.

Implement application based atomically incrementing numbering for builds.

Enable per build number aliases e.g. master or beta.

RadioCTL to print all valid urls to the new build.

proxyd to enable on demand application starting with cool interstitial.

proxyd can track LRU application list and issue shutdowns if the application record allows it.

Inject application id, build number and build date into application environment.

Create regui component to track if a new build has occurred and display a notice. Automatically refresh the browser if it's been more than 24 hours.",30/May/18 1:26 PM;ccrnyc2msw;Outcome of spike looks good.  Created AR-4197 to implement.,,,,,,,,,,,,,,,,,
End-To-End Tests Are Broken,AR-4015,617347,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1120341,1120341,1120341,19/Apr/18 9:34 AM,11/May/18 10:31 AM,03/May/19 9:49 AM,11/May/18 10:31 AM,,,,,,,,0,,,,,,1120341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FiRE is built, tests are run, and they pass as expected",,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzy1hz:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix page editing on masters,AR-4014,617314,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,mbrown,mbrown,18/Apr/18 3:12 PM,23/Jul/18 1:21 PM,03/May/19 9:49 AM,19/Apr/18 11:48 AM,,2018.7.10,,Site Manager,,,,0,,,,saving master pages doesn't work. In some cases not all page blocks are included in the save calls.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3913,,,,,,,,,,,,,,,,,10/Jul/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hz7m9r:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_9_IBIS,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proxy SMTDB projection requests,AR-4012,617245,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,amamut,amamut,18/Apr/18 8:17 AM,19/Oct/18 2:40 PM,03/May/19 9:49 AM,19/Apr/18 10:17 AM,,2018.10.9 - Streams,,Streams,,,,0,,,,Since Mongo has a limitation on using $in with projection requests we need to proxy the requests through SMT and use the app token. This bypasses the need to include membership checks in the objectdb call.,,amamut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMTDB get and update calls proxied through SMT,,,,,,,,,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3378,,,,,,,,,,,,,,,,,09/Oct/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzxzan:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_9_IBIS,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category Sorting in Custom Talk Tool Stopped Working,AR-4011,617167,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,gvilches,cccnyc1njt,cccnyc1njt,17/Apr/18 12:20 PM,25/Mar/19 12:39 PM,03/May/19 9:49 AM,16/May/18 3:00 PM,,2018.5.22,,Custom Talk,,,,0,,,,"The Custom Talk Tool includes functionality that allows the user to re-order the list of podcasts within each category using a drag and drop feature. That feature has recently stopped working. While you can continue to drag, the tool is no longer allowing users to drop a podcast title in a different placement with in the podcast list. ",,cccnyc1njt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1. Fix drag and drop functionality to ensure titles are dropping at the point they are dragged to. 
2. Test to ensure fix is working as expected (Shows are re-ordered correctly based on where they are dropped). ",,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/May/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzy5dr:,9223372036854775807,,,,,,,,Severity 3:  Medium,,RadioEdit_10_Jarvis,,,,,,,,,,,"1. Open up a Category page in the Custom Talk Tool with the option to edit - https://customtalk.radioedit.iheart.com/categories/14/edit/
2. Within the ""Linked Shows"" box, attempt to drag and drop a title either up or down the list and confirm the title did not drop. ",2.0,,,,,,No,No need to involve QA. Nate Tobin will assist with testing. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM Stage Release,AR-4010,617145,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1110204,1110204,17/Apr/18 10:50 AM,23/Jul/18 1:25 PM,03/May/19 9:49 AM,25/May/18 11:39 AM,,2018.7.10,,Site Manager,,,,0,,,,,,1110204,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-4093,,,,,,,,,,,,,,,,,,,,,,,,SM Refactor released to stage,,,,,,,,,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3913,,,,,,,,,,,,,,,,,10/Jul/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hz7icf:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_9_IBIS,RadioEdit_10_Jarvis,RadioEdit_11_KAOS,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,25/May/18 11:39 AM;ccrnyc2msw;Verified that the new SM build has been deployed to stage.  Testing can now begin on AR-4093.,,,,,,,,,,,,,,,,,,,,,
Logical page configuration,AR-4009,617108,,Story,Submitted,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,,,tterry,tterry,16/Apr/18 3:46 PM,29/Apr/19 5:05 PM,03/May/19 9:49 AM,,,,,Site Manager,,,,0,,,,"Add a ""logical"" page configuration in site manager so we can refer to the ""homepage"" in links but that designation can be configured to go to different actual pages.

Example: onair links to a microsite's ""homepage"". On most sites, that is ""home"". However, on brokered show pages, they use ""about"" as the homepage. Fire should link to ""homepage"", and site manager should allow the user to determine what actual page they want.

NOTE: Initial ask is just for ""homepage"", but the implementation of this ticket should allow for additional logical page designations to be added in the future.",,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-4090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hz75m7:01hzx00900040001r01hx0z,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alerting For Failed Scheduled Tasks,AR-4005,617101,,Story,Submitted,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,,,ccrnyc2msw,ccrnyc2msw,16/Apr/18 3:15 PM,14/May/18 8:51 AM,03/May/19 9:49 AM,,,,,Developer,,,,0,,,,"As a digital support technician, i want an alert to be generated to appropriate parties when a scheduled task in RadioEdit fails to complete so that we can be aware of and correct issues with automated tasks before our end users notice there is a problem",,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"# Ability to enable failure alert notifications on any ""scheduled tasks"" setup in the Developer tool
# Ability to specify recipients for a given alert (email addresses or HipChat room?)
# Alert should be triggered if job does not complete once the timeout duration for the individual task is reached.",,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hz7oxb:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refactor: store primary site domain on microsites,AR-4004,617041,616834,Sub-task,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,mbrown,mbrown,16/Apr/18 10:22 AM,16/Apr/18 5:37 PM,03/May/19 9:49 AM,16/Apr/18 5:37 PM,,,,Site Manager,,,,0,migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzy06f:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_8_HAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Permanent Redirect Flag,AR-4003,617038,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,1110204,1110204,16/Apr/18 9:41 AM,23/Jul/18 1:25 PM,03/May/19 9:49 AM,01/May/18 11:10 AM,,2018.7.10,,Site Manager,,,,0,seo,,,"As an admin, I want to make a redirect permanent (301)",,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Checkbox to 301 a redirect on search override screen
Enabled by national admin capability",,,,,,,,,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3913,,,,,,,,,,,,,,,,,10/Jul/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzxv1z:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_9_IBIS,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,30/Apr/18 2:28 PM;1110204;Checkbox not shown for me in Dev. Also looks like editable overrides are no longer in place.,,,,,,,,,,,,,,,,,,,,,
Script to carry over stream data from prod to stage,AR-4002,616935,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,amamut,amamut,13/Apr/18 1:52 PM,19/Oct/18 2:40 PM,03/May/19 9:49 AM,16/Apr/18 10:18 AM,,2018.10.9 - Streams,,Streams,,,,0,,,,We need production stream data in stage for proper testing.,,amamut,mfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prod streams in stage,,,,,,,,,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/Oct/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzxznb:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_8_HAL,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saving master sections errors out,AR-4001,616919,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,mbrown,mbrown,13/Apr/18 12:07 PM,23/Jul/18 1:21 PM,03/May/19 9:49 AM,17/Apr/18 5:33 PM,,2018.7.10,,Site Manager,,,,0,,,,Also the CatalogRef type in proto is wrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3913,,,,,,,,,,,,,,,,,10/Jul/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzxzkv:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_8_HAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update marshmallow schemas to match what's actually coming from site manager...,AR-4000,616915,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,mbrown,mbrown,13/Apr/18 11:20 AM,23/Jul/18 1:25 PM,03/May/19 9:49 AM,03/May/18 9:26 AM,,2018.7.10,,FiRE,,,,0,migration,,,"...and handle truthiness checks properly.

DatetimeMS deserializer should treat a date of 0 as unset and return None...among other things. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3913,,,,,,,,,,,,,,,,,10/Jul/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hz7m47:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_8_HAL,RadioEdit_9_IBIS,RadioEdit_10_Jarvis,,,,,,,,,,3.0,,,,,,,Test in develop as this is a refactor ticket,,,,,,,,,,,,,"01/May/18 1:23 PM;mbrown;Two migration scripts for this:

1) Against dev: SM repo, migrations-v3-v4/14_fix_geo_types.js

2) staging & prod (ahead of the FiRE release for this ticket): SM-data-utils repo, migration/ar4000_fix_geo_datatypes.js","02/May/18 1:32 PM;mbrown;Re: last comment..only need to run the stage/prod versions if the fire side of this goes out before the SM refactor. in that case, there's another script in data utils: ar4000_fix_catalog_datatypes.js",,,,,,,,,,,,,,,,,,,,
Tabbed interface on the content editor,AR-3999,616871,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1119767,1119767,1119767,12/Apr/18 2:54 PM,01/Feb/19 3:09 PM,03/May/19 9:49 AM,26/Apr/18 4:40 PM,,2019.1.29 - Content,,Content Tool,,,,0,,,,Implementing tabs on the content editor will likely be much easier than on the template editor because fields can't be added or moved.,,1119767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3686,,,,,,,,,,,,,,,,,29/Jan/19 12:00 AM,,,,,,,,,,,,,,,,,,,1|hz7m9j:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_9_IBIS,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There are a handful of unimplemented RPC methods,AR-3998,616849,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,mbrown,mbrown,12/Apr/18 12:35 PM,23/Jul/18 1:25 PM,03/May/19 9:49 AM,17/Apr/18 5:33 PM,,2018.7.10,,Site Manager,,,,0,,,,..which probably means there is unimplemented functionality in the client as well.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3913,,,,,,,,,,,,,,,,,10/Jul/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzxzcn:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_8_HAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM: Add efficient show lookup to SM API,AR-3996,616835,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1110204,1110204,12/Apr/18 11:08 AM,23/Jul/18 1:25 PM,03/May/19 9:49 AM,04/May/18 9:18 AM,,2018.7.10,,Site Manager,,,,0,,,,,,1110204,1119767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3913,,,,,,,,,,,,,,,,,10/Jul/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzxzaf:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_8_HAL,RadioEdit_9_IBIS,RadioEdit_10_Jarvis,,,,,,,,,,1.0,,,,,,,"This can be tested in dev by loading up a test FiRE site and making sure the schedule page still links to the microsites (wherever it did prior).

Also direct lookups by show on the API should work, e.g.:
http://site-manager.dev-radioedit.ihrint.com/api/v1/config?show=shows/Wendy%20Wild%20(1076)",,,,,,,,,,,,,"12/Apr/18 12:18 PM;mbrown;This can be refactor-only. The onair endpoint will be the only thing using it, and it's not especially slow now.","01/May/18 5:01 PM;1119767;Per Matt:
Related to https://github.com/ihr-radioedit-apps/site-manager/blob/develop/src/server/api/rest/views.ts#L192

Right now that code resolves all of the linked microsites and then matches up to shows, which is pretty inefficient. So instead it could loop over the schedule entries and look up the index by show.",,,,,,,,,,,,,,,,,,,,
Store primary site domain on microsites,AR-3995,616834,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1110204,1110204,12/Apr/18 11:07 AM,07/May/18 11:49 AM,03/May/19 9:49 AM,17/Apr/18 11:07 AM,,2018.4.17,,Site Manager,,,,0,migration,,,,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/Apr/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hz7p13:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_8_HAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Script to Migrate stream data from default to smt bucket,AR-3992,616827,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,amamut,amamut,12/Apr/18 10:51 AM,18/Apr/18 3:15 PM,03/May/19 9:49 AM,18/Apr/18 3:15 PM,,,,z-SMT (DEPRECATED),,,,0,,,,"We want to migrate stream data from default to smt so that we can establish custom permissions for the resources. Resources to be copied over:

* streams
* streams/metadata",,amamut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources copied over.,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hz7m5j:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_8_HAL,RadioEdit_9_IBIS,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fix filter bar on Markets, Genres, and Providers page",AR-3990,616798,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,amamut,amamut,12/Apr/18 9:11 AM,19/Oct/18 2:40 PM,03/May/19 9:49 AM,26/Apr/18 12:06 PM,,2018.10.9 - Streams,,Streams,,,,0,,,,"The filter bar on the Market, Genre, and Provider list pages is the same one on the Streams list page. But the data isn't organized the same way. The filter bar should work a little differently and should work for filtering the resources on that page.",,amamut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Filter bar works on Market, Genre, and Provider list pages.",,,,,,,,,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3378,,,,,,,,,,,,,,,,,09/Oct/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzy2mn:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_9_IBIS,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
